"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta088",6749,273,811167,262550,6425,732678,1090,1167004396,3,2.54608
"ta089",6614,272,781763,256019,6308,142019,217,2874530187,3,2.4991
"ta090",6652,267,778593,272341,6448,615807,943,1086191594,3,2.5166
"ta091",10940,528,358135,188213,10857,32421,60,679840017,3,2.5101
"ta092",10723,460,357201,114826,10494,7063,11,2470691510,3,2.48125
"ta093",11022,533,363292,147263,10926,148387,261,3904012555,3,2.52895
"ta094",10920,484,355568,243275,10871,315683,532,3740738313,3,2.50428
"ta095",10639,503,376807,135252,10493,167942,280,277569110,3,2.49777
"ta096",10417,517,341617,135145,10331,281452,494,1681334846,3,2.43407
"ta097",10922,472,368800,193889,10857,188313,306,3000066547,3,2.55098
"ta098",10839,516,321217,131327,10751,57842,108,1648637785,3,2.52832
"ta099",10508,498,381111,147542,10419,24295,42,914134252,3,2.48188
"ta100",10846,520,318847,136734,10685,9219,17,2609815566,3,2.50645
"ta101",11637,1875,698816,228689,11270,256610,892,1852405078,3,2.44782
"ta102",11660,1921,708956,229057,11296,697306,2362,943601519,3,2.50224
"ta103",11724,1715,709405,245873,11412,378513,1328,599376098,3,2.51273
"ta104",11752,1682,730170,260933,11329,168049,547,1760735347,3,2.50214
"ta105",11601,1959,663192,232424,11323,432379,1579,1625027218,3,2.47525
"ta106",11611,1874,777527,250837,11267,365849,1129,107882831,3,2.50228
"ta107",11740,1745,715651,240827,11429,276252,923,1885279774,3,2.51782
"ta108",11831,1913,738144,237165,11433,186043,614,558269936,3,2.49613
"ta109",11619,1897,715896,241873,11265,229616,733,1256607521,3,2.49721
"ta110",11805,1945,705975,255079,11373,451106,1520,582250226,3,2.49582
"ta111",26632,27577,546992,177233,26186,317519,3359,4145309376,3,2.48145
"ta112",27263,29988,521656,172584,26688,445819,5138,3708438019,3,2.524
"ta113",26859,29115,573772,190215,26485,277037,2840,2658972087,3,2.49531
