"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta047",3678,1,58677,21242,3127,15597,4,862511942,3,2.5184
"ta048",3773,1,60015,17313,3042,13151,3,4163215537,3,2.4535
"ta049",3792,1,62557,17899,2902,7143,1,990683903,3,2.4332
"ta050",3845,1,59442,18584,3092,5334,1,625101320,3,2.5446
"ta051",5094,2,54452,13069,3865,47458,26,3791973183,3,2.59555
"ta052",4730,2,49753,17264,3700,37652,22,172093082,3,2.46355
"ta053",4592,2,61566,22395,3667,14502,7,1711282335,3,2.42175
"ta054",4797,2,59103,19731,3718,38183,19,1585884573,3,2.465
"ta055",4748,2,63227,21211,3648,59034,28,1943227841,3,2.45705
"ta056",4946,2,63738,25086,3712,41093,19,2142002567,3,2.4515
"ta057",4742,2,56869,16466,3728,31796,16,335234416,3,2.48365
"ta058",4763,2,59636,19553,3724,29549,14,1496485733,3,2.46245
"ta059",4823,2,58978,17739,3755,56625,28,3018656596,3,2.49715
"ta060",4901,2,68230,19333,3761,18130,8,4051458551,3,2.5301
"ta061",5943,1,50920,34160,5493,174,0,145623350,3,2.5797
"ta062",5878,1,47976,23854,5257,6021,1,3967668868,3,2.5182
"ta063",5880,1,50487,20933,5175,1375,0,573057881,3,2.4735
"ta064",5675,1,49603,23566,4998,3513,1,1663478740,3,2.4028
"ta065",6095,1,52361,26558,5247,3140,1,2754547640,3,2.5098
"ta066",5753,1,47424,30962,5135,2309,0,526252349,3,2.451
"ta067",5935,1,51398,22839,5232,1515,0,1632213017,3,2.4749
"ta068",6068,1,50883,21590,5083,1128,0,3236968004,3,2.4339
"ta069",6193,1,49292,30456,5447,7120,2,695717719,3,2.5839
"ta070",6157,1,51723,24867,5318,7353,2,3326686040,3,2.5583
"ta071",6983,2,51461,15068,5780,18415,11,1905746908,3,2.59555
"ta072",6558,2,54112,14620,5357,1157,0,4176078505,3,2.42175
"ta073",6667,2,52349,18610,5678,27130,15,3527785368,3,2.50985
"ta074",7300,2,53449,14943,5826,10000,6,2243453049,3,2.6319
"ta075",6844,2,55864,15052,5495,40563,21,1702230177,3,2.48515
