"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta089",6614,269,62040,16872,6387,29728,28,1099503630,3,2.4991
"ta090",6652,253,53232,15471,6534,13669,15,1570759123,3,2.5166
"ta091",10940,525,45868,20238,10869,4990,7,2388325887,3,2.5101
"ta092",10723,509,42101,10320,10542,12738,18,817583436,3,2.48125
"ta093",11022,530,46254,15426,10943,30728,40,3852511222,3,2.52895
"ta094",10920,529,41532,22793,10871,2427,4,3073215335,3,2.50428
"ta095",10639,506,50502,13796,10521,15367,18,1512611282,3,2.49777
"ta096",10417,510,47387,14123,10342,21240,26,893123339,3,2.43407
"ta097",10922,525,45137,17228,10870,6459,9,2412639447,3,2.55098
"ta098",10839,517,39740,14610,10798,77,0,526790031,3,2.52832
"ta099",10508,499,50572,15098,10419,48165,57,2668732383,3,2.48188
"ta100",10846,470,45013,14268,10685,3392,5,1938835649,3,2.50645
"ta101",11637,1704,47485,11444,11324,29004,73,3473452155,3,2.44782
"ta102",11660,1916,58546,14707,11392,56999,116,1819604009,3,2.50224
"ta103",11724,1908,54075,13789,11498,12756,29,2038908606,3,2.51273
"ta104",11752,1708,46917,12393,11387,40550,104,776124254,3,2.50214
"ta105",11601,1970,48555,12382,11387,35530,89,636760520,3,2.47525
"ta106",11611,1849,55285,13307,11330,43302,94,431091611,3,2.50228
"ta107",11740,1938,51457,13772,11510,37536,89,3755635967,3,2.51782
"ta108",11831,1909,53029,12979,11482,46639,106,2678740893,3,2.49613
"ta109",11619,1886,54273,13580,11383,33132,75,581103580,3,2.49721
"ta110",11805,1757,58397,15480,11492,42491,88,1735448402,3,2.49582
"ta111",26632,27780,33875,7207,26302,33337,295,1795032232,3,2.48145
"ta112",27263,30241,29498,6370,26855,11632,138,2534076730,3,2.524
"ta113",26859,27095,33296,7692,26620,30771,278,599342056,3,2.49531
"ta114",26992,30717,31515,7343,26656,15593,161,2593099039,3,2.50377
"ta115",26741,30939,32996,7088,26487,26234,247,2919012381,3,2.49069
"ta116",27056,27258,29291,6434,26615,25809,266,3667988501,3,2.51715
