"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"flcmax_20_15_3",4049,8,668466,247629,3827,125985,24,1214212113,3,5.20783
"flcmax_20_15_6",3876,3,648085,227667,3679,594202,123,1498061677,3,4.96517
"flcmax_20_15_4",3579,3,701500,244771,3442,564599,107,1711328889,3,4.55917
"flcmax_20_15_10",4136,3,679687,197051,3941,49557,9,526455097,3,5.303
"flcmax_20_15_5",4068,3,749995,367724,3854,15027,2,71283967,3,5.2505
"flcmax_20_20_1",4627,5,818546,278046,4435,493852,149,1736579623,3,4.962
"flcmax_20_20_3",4617,5,840629,332258,4329,46267,13,76109555,3,5.0215
"flcmax_20_20_9",4566,5,839972,224194,4378,193279,56,1486535761,3,4.95637
"flcmax_20_20_2",4644,5,818673,267219,4372,72348,21,2785892551,3,5.08413
"flcmax_20_20_10",4457,5,871808,296573,4238,230414,64,2087228694,3,5.02388
"flcmax_30_15_3",4761,7,669726,235977,4451,85058,26,397115991,3,4.71211
"flcmax_30_15_4",4853,7,657592,231285,4572,358938,111,2481662487,3,4.95722
"flcmax_30_15_9",4841,8,645642,217080,4482,404875,123,3519233198,3,4.863
"flcmax_30_15_8",5049,7,692814,244620,4741,292794,86,1527076132,3,4.98756
"flcmax_30_15_6",4997,7,662817,228802,4661,144060,45,2057984232,3,4.99711
"flcmax_30_20_3",5578,12,857668,242963,5201,340764,144,3504297799,3,4.82525
"flcmax_30_20_1",5947,12,892245,246319,5507,161113,66,963505588,3,5.05675
"flcmax_30_20_6",5798,12,934844,319418,5540,351482,136,1650463238,3,5.06392
"flcmax_30_20_10",5741,12,870065,270635,5352,516306,212,3681890837,3,4.96533
"flcmax_30_20_2",5455,12,876162,280968,5264,565994,232,467364711,3,4.9245
"flcmax_40_15_5",6216,14,786154,308039,5883,56589,20,1849199853,3,5.13008
