"name","seed","value"
"ta010",1172596744,1108
"ta011",1100381338,1585
"ta012",741700317,1660
"ta013",2519478596,1496
"ta014",2146396295,1378
"ta015",2845124752,1419
"ta016",420507573,1397
"ta017",3572941743,1484
"ta018",4147267923,1544
"ta019",1543409190,1593
"ta020",3985984885,1591
"ta021",3846964301,2297
"ta022",1139515427,2099
"ta023",594340173,2328
"ta024",2004408972,2223
"ta025",948618676,2294
"ta026",2783115499,2228
"ta027",730274415,2273
"ta028",466289937,2200
"ta029",2075895338,2237
"ta030",1478210142,2178
"ta031",2492199162,2724
"ta032",1665535415,2836
"ta033",3000525594,2621
"ta034",2321059717,2751
"ta035",1413001203,2863
"ta036",3800541011,2829
"ta037",389581439,2725
"ta038",894220614,2683
"ta039",3674928759,2554
"ta040",3230921577,2782
"ta041",1979970068,3025
"ta042",1888141016,2911
"ta043",2467811614,2869
"ta044",3030369882,3063
"ta045",1112481254,3011
"ta046",1748667205,3006
"ta047",1119373644,3118
"ta048",3843188442,3042
"ta049",3349298018,2902
"ta050",1141647434,3078
"ta051",1548795330,3893
"ta052",3783256785,3721
"ta053",3057369950,3666
"ta054",3299773561,3771
"ta055",2495609010,3669
"ta056",1344026655,3718
"ta057",989889399,3721
"ta058",610018564,3742
"ta059",4206413189,3781
"ta060",485016160,3779
"ta061",3801555920,5493
"ta062",414776442,5268
"ta063",1182132860,5175
"ta064",3289152737,5018
"ta065",3492083080,5250
"ta066",3118349156,5135
"ta067",2597408508,5246
"ta068",3550172702,5094
"ta069",276837393,5448
"ta070",1264129966,5324
"ta071",1079535597,5771
"ta072",4128766068,5349
"ta073",2215122717,5679
"ta074",2504846708,5794
"ta075",4137905538,5467
"ta076",651754841,5308
"ta077",1297212382,5599
"ta078",2295258429,5636
"ta079",1753908629,5875
"ta080",1574514603,5845
"ta081",2493125495,6320
"ta082",4249635126,6240
"ta083",3660738113,6340
"ta084",1496130236,6363
"ta085",4137036401,6386
"ta086",752852601,6487
"ta087",782070368,6383
"ta088",1569917337,6496
"ta089",3092718801,6368
"ta090",1437063441,6531
"ta091",3810257333,10872
"ta092",2673463285,10499
"ta093",2173439363,10923
"ta094",3156786508,10889
"ta095",2090092160,10527
"ta096",2277857074,10334
"ta097",1610922164,10857
"ta098",2820847563,10734
"ta099",4028535329,10438
"ta100",3513645991,10685
"ta101",2219579564,11340
"ta102",861964902,11376
"ta103",376221806,11443
"ta104",113290867,11393
"ta105",2637896332,11387
"ta106",2086457765,11337
"ta107",85665721,11461
"ta108",406432924,11453
"ta109",3437042654,11352
"ta110",1211296158,11417
"ta111",1411441959,26186
"ta112",199409912,26745
"ta113",3125195947,26509
"ta114",1744541275,26548
"ta115",3084145935,26441
"ta116",3262523914,26574
"ta117",3640078621,26461
"ta118",2259339710,26693
"ta119",2693626585,26131
"ta120",3365838272,26538
"ta001",3682493652,1278
"ta002",1671598078,1359
"ta003",610557467,1081
"ta004",4080288355,1293
"ta005",266670940,1235
"ta006",1770690311,1195
"ta007",1293514732,1239
