"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"flcmax_50_15_8",7096,28,55347,19533,6739,48179,21,1640584765,3,5.11907
"flcmax_50_15_2",7298,23,52035,17117,6920,50405,24,2089314815,3,5.18147
"flcmax_50_20_2",8156,42,68423,22437,7627,58619,39,1067883839,3,5.1288
"flcmax_50_20_1",7621,41,63789,23020,7204,57341,40,2298486424,3,4.7729
"flcmax_50_20_7",8000,42,61936,23029,7522,59463,43,1652309732,3,4.9788
"flcmax_50_20_8",7789,39,63438,23709,7360,51458,36,1735550420,3,4.9232
"flcmax_50_20_4",8049,37,67002,25029,7625,66167,44,656598330,3,5.11825
"flcmax_20_15_3",4049,9,21189,8311,3866,15324,2,3576680121,3,5.20783
"flcmax_20_15_6",3876,9,21974,6840,3715,1980,0,3184363353,3,4.96517
"flcmax_20_15_4",3579,3,21039,6502,3433,7439,1,3619839204,3,4.55917
"flcmax_20_15_10",4136,3,21283,6943,3983,2303,0,1629957536,3,5.303
"flcmax_20_15_5",4068,3,22255,11133,3854,792,0,3965262726,3,5.2505
"flcmax_20_20_1",4627,5,25460,8565,4474,10573,2,3908761133,3,4.962
"flcmax_20_20_3",4617,5,25280,9568,4355,5458,1,1634812777,3,5.0215
"flcmax_20_20_9",4566,5,25651,6830,4422,19139,5,3380424215,3,4.95637
"flcmax_20_20_2",4644,5,23689,7396,4372,10129,2,1436378919,3,5.08413
"flcmax_20_20_10",4457,5,24765,7055,4252,20865,5,4091117760,3,5.02388
"flcmax_30_15_3",4761,7,32631,13533,4522,14710,4,2968282700,3,4.71211
"flcmax_30_15_4",4853,7,33562,10291,4572,30646,9,2565006660,3,4.95722
"flcmax_30_15_9",4841,7,32736,10736,4483,23368,7,565399184,3,4.863
"flcmax_30_15_8",5049,7,34313,12222,4746,13920,4,318927628,3,4.98756
"flcmax_30_15_6",4997,7,30549,10365,4692,25898,8,3127823804,3,4.99711
"flcmax_30_20_3",5578,12,37324,13042,5259,31805,13,1727092888,3,4.82525
"flcmax_30_20_1",5947,12,38351,11449,5517,15034,6,4094647460,3,5.05675
"flcmax_30_20_6",5798,12,39591,13885,5588,11794,4,2689644899,3,5.06392
"flcmax_30_20_10",5741,12,38106,10088,5406,10122,4,384721646,3,4.96533
"flcmax_30_20_2",5455,12,41882,12477,5262,36511,14,423376193,3,4.9245
"flcmax_40_15_5",6216,14,47573,20158,5903,42522,15,1308494996,3,5.13008
"flcmax_40_15_9",5928,14,44492,15667,5602,31009,11,611207892,3,5.01433
"flcmax_40_15_2",6142,14,45424,14035,5811,43886,16,110935634,3,5.05292
"flcmax_40_15_10",6037,13,49184,16938,5830,15941,5,2241379522,3,5.02675
"flcmax_40_15_8",6306,14,50806,17332,5941,27776,9,1935089079,3,5.18267
"flcmax_40_20_3",6906,23,51333,17639,6399,30503,16,1346400484,3,4.97725
"flcmax_40_20_9",6904,24,55238,21553,6585,17464,9,2129584918,3,5.06969
"flcmax_40_20_6",7101,24,54051,18226,6654,46085,24,647421645,3,5.13438
"flcmax_40_20_7",6965,23,48944,17917,6681,22951,13,824390438,3,5.08444
"flcmax_40_20_5",6788,23,57884,24702,6440,56708,28,925480971,3,5.06019
"flcmax_50_15_6",7158,25,55457,19781,6769,33160,15,2827932141,3,4.94647
"flcmax_50_15_5",6897,23,51993,18675,6655,39124,18,1750725108,3,4.90007
"flcmax_50_15_1",6764,23,59633,23441,6515,45517,19,1316427306,3,4.8294
"flcmax_50_15_8",7096,24,54460,19287,6778,20603,10,4204171203,3,5.11907
"flcmax_50_15_2",7298,23,53382,17578,6922,41470,19,3790385066,3,5.18147
"flcmax_50_20_2",8156,41,69661,26477,7507,64732,41,1780952372,3,5.1288
"flcmax_50_20_1",7621,40,60341,23115,7251,51650,38,1711556596,3,4.7729
"flcmax_50_20_7",8000,43,65548,27612,7560,7256,5,2046903261,3,4.9788
"flcmax_50_20_8",7789,39,65792,23767,7349,47220,32,3703767751,3,4.9232
"flcmax_50_20_4",8049,40,66111,24979,7639,24495,16,4247084808,3,5.11825
"flcmax_20_15_3",4049,9,21320,8145,3829,13953,2,1460078774,3,5.20783
"flcmax_20_15_6",3876,3,21475,6629,3716,1627,0,2549080170,3,4.96517
"flcmax_20_15_4",3579,3,20688,7326,3430,3101,0,1728337841,3,4.55917
"flcmax_20_15_10",4136,3,19857,5131,3964,15749,3,497629182,3,5.303
"flcmax_20_15_5",4068,3,22038,8788,3854,17740,3,2362154681,3,5.2505
"flcmax_20_20_1",4627,5,24209,8790,4458,20950,6,348413118,3,4.962
"flcmax_20_20_3",4617,11,26239,10978,4358,7712,2,1083224936,3,5.0215
"flcmax_20_20_9",4566,5,25835,6045,4406,25673,6,3028321466,3,4.95637
"flcmax_20_20_2",4644,5,23817,8388,4391,3198,0,1428293776,3,5.08413
"flcmax_20_20_10",4457,5,23926,8733,4247,5117,1,4214949919,3,5.02388
"flcmax_30_15_3",4761,7,31248,11162,4478,22839,7,4156364653,3,4.71211
"flcmax_30_15_4",4853,7,31771,10901,4587,18023,5,919459443,3,4.95722
"flcmax_30_15_9",4841,7,32832,11256,4483,4363,1,293913421,3,4.863
"flcmax_30_15_8",5049,7,31184,11249,4796,21096,6,2669481426,3,4.98756
"flcmax_30_15_6",4997,7,31729,9890,4733,19635,6,1294533948,3,4.99711
"flcmax_30_20_3",5578,12,38414,12497,5254,24259,9,4153986045,3,4.82525
"flcmax_30_20_1",5947,11,37678,10693,5514,20803,8,4239703032,3,5.05675
"flcmax_30_20_6",5798,12,40446,13194,5579,18054,7,3071359246,3,5.06392
"flcmax_30_20_10",5741,12,39277,11188,5413,34003,13,1213054620,3,4.96533
"flcmax_30_20_2",5455,12,42400,14018,5266,20328,7,3876425137,3,4.9245
"flcmax_40_15_5",6216,14,47010,16813,5910,7666,2,129263067,3,5.13008
"flcmax_40_15_9",5928,14,42154,14213,5617,32689,13,1020190803,3,5.01433
"flcmax_40_15_2",6142,16,44973,13146,5807,29657,11,110799891,3,5.05292
"flcmax_40_15_10",6037,13,48047,16385,5827,19483,7,170248860,3,5.02675
"flcmax_40_15_8",6306,14,45328,15280,5963,39244,14,1166600989,3,5.18267
"flcmax_40_20_3",6906,24,52363,18271,6400,15164,8,551307236,3,4.97725
"flcmax_40_20_9",6904,21,51828,20042,6549,42841,24,4171108113,3,5.06969
"flcmax_40_20_6",7101,24,54625,19181,6661,51626,27,2314230012,3,5.13438
"flcmax_40_20_7",6965,23,50531,18119,6692,41386,23,703440720,3,5.08444
"flcmax_40_20_5",6788,24,53653,19541,6430,24779,13,1429451113,3,5.06019
"flcmax_50_15_6",7158,25,52963,17872,6729,26585,12,3469763290,3,4.94647
"flcmax_50_15_5",6897,22,53734,19591,6634,22404,10,265357784,3,4.90007
"flcmax_50_15_1",6764,23,59662,23718,6518,50468,21,1392638337,3,4.8294
"flcmax_50_15_8",7096,24,54649,17295,6776,46324,21,540934929,3,5.11907
"flcmax_50_15_2",7298,23,55051,18710,6903,15433,7,1265256055,3,5.18147
"flcmax_50_20_2",8156,41,70744,24919,7603,18907,13,127865161,3,5.1288
"flcmax_50_20_1",7621,41,65990,22092,7207,13950,9,1397664712,3,4.7729
"flcmax_50_20_7",8000,43,62543,21204,7483,57182,41,1373174426,3,4.9788
"flcmax_50_20_8",7789,39,63600,24790,7351,31228,21,4091278010,3,4.9232
"flcmax_50_20_4",8049,41,66763,24541,7634,49842,33,3484725127,3,5.11825
"flcmax_20_15_3",4049,9,21086,8119,3855,9599,1,829296493,3,5.20783
"flcmax_20_15_6",3876,3,21651,6775,3710,7308,1,397048098,3,4.96517
"flcmax_20_15_4",3579,3,20005,6933,3433,10692,2,3621732000,3,4.55917
"flcmax_20_15_10",4136,7,20894,5872,3963,12544,2,3276720442,3,5.303
"flcmax_20_15_5",4068,3,21572,9105,3854,17079,3,2345106409,3,5.2505
"flcmax_20_20_1",4627,5,23301,8295,4465,8346,2,3039164603,3,4.962
"flcmax_20_20_3",4617,5,25581,10130,4329,19723,5,1919715051,3,5.0215
"flcmax_20_20_9",4566,5,25005,7505,4393,1323,0,1824170634,3,4.95637
"flcmax_20_20_2",4644,5,23321,7706,4372,10622,3,211421207,3,5.08413
"flcmax_20_20_10",4457,5,24769,7284,4256,19056,5,4185078675,3,5.02388
"flcmax_30_15_3",4761,8,31790,11873,4492,15255,4,4085741076,3,4.71211
"flcmax_30_15_4",4853,7,34926,11865,4604,32009,9,468582243,3,4.95722
"flcmax_30_15_9",4841,7,32457,12470,4515,31430,9,4129912534,3,4.863
