"name","solution_value","buffer_size"
"ta005",1235,2
"ta006",1195,3
"ta006",1195,2
"ta007",1239,3
"ta007",1234,3
"ta008",1206,2
"ta008",1206,3
"ta009",1230,3
"ta009",1230,3
"ta010",1108,3
"ta010",1108,4
"ta011",1582,2
"ta011",1582,2
"ta012",1659,2
"ta012",1659,2
"ta013",1496,2
"ta013",1496,2
"ta014",1377,3
"ta014",1377,3
"ta015",1419,3
"ta015",1419,3
"ta016",1397,3
"ta016",1397,3
"ta017",1484,2
"ta017",1484,2
"ta018",1538,3
"ta018",1538,3
"ta019",1593,3
"ta019",1593,3
"ta020",1591,2
"ta020",1591,2
"ta021",2297,2
"ta021",2297,2
"ta022",2099,4
"ta022",2100,4
"ta023",2326,3
"ta023",2329,3
"ta024",2223,2
"ta024",2223,2
"ta025",2291,2
"ta025",2291,2
"ta026",2226,2
"ta026",2226,2
"ta027",2273,2
"ta027",2273,2
"ta028",2200,3
"ta028",2200,3
"ta029",2237,2
"ta029",2237,2
"ta030",2178,2
"ta030",2178,2
"ta031",2724,8
"ta031",2724,5
"ta032",2834,6
"ta032",2834,6
"ta033",2621,6
"ta033",2621,8
"ta034",2751,6
"ta034",2751,7
"ta035",2863,5
"ta035",2863,5
"ta036",2829,6
"ta036",2829,5
"ta037",2725,5
"ta037",2725,5
"ta038",2683,6
"ta038",2683,6
"ta039",2552,4
"ta039",2552,6
"ta040",2782,9
"ta040",2782,9
"ta041",3025,4
"ta041",3024,4
"ta042",2883,4
"ta042",2884,4
"ta043",2864,4
"ta043",2861,3
"ta044",3063,4
"ta044",3063,4
"ta045",2986,4
"ta045",2984,4
"ta046",3006,6
"ta046",3006,4
"ta047",3115,3
"ta047",3114,4
"ta048",3039,4
"ta048",3039,4
"ta049",2902,4
"ta049",2902,4
"ta050",3091,4
"ta050",3091,4
"ta051",3893,4
"ta051",3893,4
"ta052",3719,4
"ta052",3719,5
"ta053",3660,5
"ta053",3660,4
"ta054",3741,3
"ta054",3742,5
"ta055",3629,5
"ta055",3626,5
"ta056",3711,5
"ta056",3697,5
"ta057",3725,4
"ta057",3715,5
"ta058",3723,4
"ta058",3714,5
"ta059",3768,4
"ta059",3777,4
"ta060",3767,4
"ta060",3779,4
"ta061",5493,13
"ta061",5493,11
"ta062",5268,11
"ta062",5268,9
"ta063",5175,12
"ta063",5175,13
"ta064",5014,11
"ta064",5014,11
"ta065",5250,10
"ta065",5250,9
"ta066",5135,15
"ta066",5135,11
"ta067",5246,9
"ta067",5246,9
"ta068",5094,10
"ta068",5094,11
"ta069",5448,10
"ta069",5448,10
"ta070",5322,15
"ta070",5322,12
"ta071",5770,6
"ta071",5770,6
"ta072",5349,8
"ta072",5349,7
"ta073",5679,9
"ta073",5679,7
"ta074",5805,6
"ta074",5794,8
"ta075",5467,8
"ta075",5468,8
"ta076",5308,8
"ta076",5303,8
"ta077",5599,8
"ta077",5599,9
"ta078",5626,6
"ta078",5637,6
"ta079",5875,7
"ta079",5878,6
"ta080",5848,6
"ta080",5845,6
"ta081",6265,8
"ta081",6266,5
"ta082",6240,9
"ta082",6239,8
"ta083",6315,5
"ta083",6305,5
"ta084",6303,14
"ta084",6366,13
"ta085",6380,5
"ta085",6370,4
"ta086",6410,5
"ta086",6437,5
"ta087",6312,5
"ta087",6320,6
"ta088",6466,5
"ta088",6444,5
"ta089",6350,6
"ta089",6327,7
"ta090",6479,6
"ta090",6483,6
"ta091",10872,11
"ta091",10872,9
"ta092",10497,10
"ta092",10497,9
"ta093",10923,12
"ta093",10923,10
"ta094",10893,13
"ta094",10893,17
"ta095",10537,10
"ta095",10535,10
"ta096",10333,13
"ta096",10332,12
"ta097",10857,10
"ta097",10857,10
"ta098",10734,12
"ta098",10734,10
"ta099",10438,11
"ta099",10438,11
"ta100",10685,10
"ta100",10676,10
