"name","initial_solution_value","initial_solution_time_ms","num_iterations","num_iterations_acceptance","best_value","steps_to_best","time_to_best_s","seed","num_jobs_destroy_repair","temperature"
"ta038",3140,1,43220,21920,2683,441,0,1606141299,3,2.4786
"ta039",2930,1,46985,22728,2545,5827,1,3172805394,3,2.3244
"ta040",3188,1,45604,29286,2776,81,0,3447420841,3,2.5636
"ta041",3754,1,43102,15480,3010,7472,2,3287295892,3,2.51
"ta042",3685,1,46884,15664,2887,24726,8,1845241080,3,2.4236
"ta043",3612,1,45232,17045,2855,6146,1,156637618,3,2.4007
"ta044",3669,1,44419,16364,3061,1475,0,1624233021,3,2.5281
"ta045",3741,1,43145,13269,2992,12585,4,3402204964,3,2.5391
"ta046",3736,1,45450,14650,2991,11467,3,517751378,3,2.509
"ta047",3678,1,42346,16625,3110,18010,6,310299941,3,2.5184
"ta048",3773,1,42916,14405,3032,20454,7,4220194879,3,2.4535
"ta049",3792,1,46663,15336,2883,31610,10,2997648370,3,2.4332
"ta050",3845,1,43384,14996,3078,26564,9,949656940,3,2.5446
"ta051",5094,2,44692,13145,3844,29994,20,2562972668,3,2.59555
"ta052",4730,2,38178,13697,3737,27103,21,2042935609,3,2.46355
"ta053",4592,2,46682,16064,3656,24076,15,3267912961,3,2.42175
"ta054",4797,2,44439,15928,3744,40609,27,1292413152,3,2.465
"ta055",4748,2,43612,16575,3614,42855,29,1593946685,3,2.45705
"ta056",4946,2,49396,20365,3709,37321,22,468486396,3,2.4515
"ta057",4742,2,45544,17714,3706,37835,24,434052852,3,2.48365
"ta058",4763,2,41689,13631,3709,23572,17,2357921693,3,2.46245
"ta059",4823,2,44454,14289,3755,44358,29,762628931,3,2.49715
"ta060",4901,2,47640,16943,3784,44031,27,3209434873,3,2.5301
"ta061",5943,1,43408,31650,5493,328,0,3383557469,3,2.5797
"ta062",5878,1,39193,21126,5257,29761,11,2193319508,3,2.5182
"ta063",5880,1,41633,20132,5175,906,0,3154941215,3,2.4735
"ta064",5675,2,43665,23279,4998,1475,0,238875617,3,2.4028
"ta065",6095,1,44050,25919,5247,13901,4,2828999442,3,2.5098
"ta066",5753,1,38603,27156,5135,4106,1,3376097466,3,2.451
"ta067",5935,1,40025,19429,5232,7761,2,723774881,3,2.4749
"ta068",6068,1,40090,18682,5083,8203,2,1366096940,3,2.4339
"ta069",6193,1,41479,25919,5442,6895,2,2611461179,3,2.5839
"ta070",6157,1,42985,24544,5318,5161,1,2999710561,3,2.5583
"ta071",6983,2,40952,15364,5776,35196,25,2704897918,3,2.59555
"ta072",6558,2,41345,14619,5350,14840,10,3868311325,3,2.42175
"ta073",6667,2,40874,18415,5681,965,0,772383734,3,2.50985
"ta074",7300,2,40495,14073,5800,26589,19,1147996795,3,2.6319
"ta075",6844,2,42469,14185,5488,18670,12,3131479099,3,2.48515
"ta076",6591,2,41004,15930,5317,2283,1,3624588007,3,2.37285
"ta077",6765,2,40092,19934,5626,10356,7,3863733286,3,2.4515
"ta078",6517,2,38332,13537,5626,11860,9,3447313004,3,2.49255
